FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
2.6464568,1.2691969,2.5478846,-0.78114138,0.42034624,1.3413063,0.58103249,-3.3976612,-1.0909633,-2.5451954,-1.5000768,-1.128785,-0.02792119,-1.9307001,-1.5117426,0.27246848,-0.33696951,-0.75529343,0.11500752,-1.4904463,-0.54655805,0.17896416,-1.8824336,2.187909,1.5295434,-0.95609736,0.53055548,3.8328879,1.4904814,3.0135039,-0.37259104,-1.7029642
-7.4001259,-2.218838,3.7337845,4.8014889,0.27122297,0.72180047,2.6448184,-0.7980146,-0.43190522,-1.3617556,-2.1342314,-0.0076480556,1.0003102,-0.85911505,-0.74474636,1.0298645,0.63492464,0.70160419,0.97155775,-0.26411488,-0.95475964,0.17791411,-1.353625,-2.8749503,0.67140017,-1.7839688,4.3442705,6.0386585,0.0049661248,-1.2073531,-0.39413955,-2.9592906
-13.808495,-3.7198011,-2.1167292,6.382751,1.682572,3.3408619,3.6912236,4.0489966,1.1805333,1.4227134,-0.81813102,1.792532,2.630872,0.24770948,-0.045938211,-0.24744577,-0.69743661,1.4269768,1.049866,-3.6900767,-5.7352159,1.207725,1.649385,-2.2563725,4.4001372,-0.44136675,7.0961885,-0.40102929,-1.2146331,-6.225014,0.55268979,-2.3860565
-8.5888261,-4.8304725,-2.0693247,-4.9400793,-0.19901454,-1.6058196,0.061671725,3.2902556,2.7866627,0.20674449,-0.31435921,2.9592608,4.2298679,2.0632819,-0.23082758,-1.8249531,-2.3926861,2.2016418,3.6922302,-5.2301478,0.40647438,4.5006503,4.1450964,4.1686084,6.9914284,1.007168,5.8973561,-7.2633776,-2.0373097,-4.9371894,-1.2025035,-0.94151781
5.4751907,-1.6848427,3.8898733,-15.574935,-3.7146133,-2.8103824,-1.9089809,0.6518105,1.0224257,-2.3459948,-4.1429105,0.46762962,2.4631062,0.40356359,-3.3225444,-4.4714069,-5.9078188,-1.0710154,3.6046293,-5.5611747,7.3521054,4.3653128,5.9927033,13.718052,9.5024654,0.047033717,1.1724106,-3.6661515,-0.25918112,3.0500569,-3.7846169,-2.9518034
8.4415123,-2.0139036,7.7874626,-18.842813,-5.1117241,-9.8685185,-4.4736546,0.7679699,1.683579,0.11901483,-1.9289035,1.2491848,3.1675603,1.4331178,-0.98535971,-1.1557573,-2.6467801,0.22058502,3.7085227,-0.12106296,3.7617283,3.9317065,4.5970544,7.9239374,4.9083265,-1.1009155,-2.3698411,0.60985395,-1.7465641,6.420405,-4.770131,-3.5955964
12.933272,0.19313196,6.5224592,-20.387811,-3.5698343,-7.6282005,-4.5056711,2.0358773,0.98951572,-1.3568026,-1.9724122,0.41567248,1.4700239,0.16454944,-1.9562678,-2.0778287,-2.7740509,-0.19453979,1.889725,-3.055615,0.42563068,2.50372,2.1567765,12.360806,7.8951506,-0.44385161,-1.9213616,-2.1677541,-0.24190588,8.5988834,-3.099398,-3.2018983
7.5293937,0.57221703,3.9123205,-14.357746,-1.0836337,-2.2105729,-1.7840107,3.4735488,-0.25950684,-1.2160494,-5.2637028,-1.9491481,-0.26456644,-3.2638791,-6.9907029,-5.1751471,-4.7622688,-1.6136339,0.43748562,-6.3861367,0.30683301,1.6309465,4.2485648,16.537679,13.772277,1.6246876,4.6102417,-5.962343,1.5367237,5.2797621,-0.39600232,-2.5336421
4.6992747,3.1961745,-1.5706472,-2.3141769,1.7896764,5.6739389,0.41231744,7.8491831,-1.0585516,0.88918902,-8.3930965,-4.0787349,-1.3888657,-6.2253382,-10.350394,-6.4101491,-5.016572,-1.7210196,-0.38284364,0.52163499,0.10885772,-0.58095571,2.4082263,12.411096,8.7494851,0.59314604,1.0948136,-3.3825451,1.973758,1.4372852,1.9895366,-2.9237082
6.271079,2.369534,1.6163479,-3.3407862,1.728861,-2.2142493,-2.4324158,9.7083043,1.5111854,3.0318318,-4.976482,-2.2702495,-0.38993987,-4.6915883,-7.7819126,-3.4043329,-1.6416951,-0.30965354,-1.045502,2.6378699,-3.2980139,-0.38175832,-1.8986393,5.4704635,2.6494319,1.0983107,-1.9541056,-1.5907223,0.20858188,3.2498184,2.8931935,-0.82277252
6.4063262,1.1749405,3.8242039,-6.7149716,1.0447139,-5.5407195,-4.0659083,8.0237116,2.8244644,1.9515674,-5.9443869,-1.3529214,0.56705841,-5.368432,-8.333877,-2.0111244,-0.32641122,-1.4773981,-1.7148967,-6.8283197,-4.0322344,2.866632,2.4453677,4.6313294,4.5725514,4.506777,-0.48635706,-0.21843985,0.12445244,4.3848741,2.6907102,2.3767067
1.481875,1.8178267,0.26500489,0.5199436,3.7486808,2.2576401,-1.2550037,8.8474273,3.6540346,2.7926063,-9.622522,-1.0094837,1.0927527,-8.345414,-13.180927,-4.4788495,-3.563129,-4.3532252,-1.71847,-9.6381606,-0.80882442,5.1214255,4.8738205,-0.52460455,2.4987882,6.0386873,0.9046232,2.4853262,1.8423402,0.79987896,3.6434945,3.8124383
0.72013824,1.9946276,-3.748862,0.19955962,3.9510974,5.665073,-1.6765571,6.9823382,3.0606147,0.38991735,-13.341043,-1.4321615,2.5161744,-10.250324,-16.314738,-5.9968207,-4.1260538,-3.3837864,1.2842534,-0.24136005,7.1592667,6.6235858,5.1509324,-0.45568729,1.1464866,6.0709849,1.7269081,-2.9085831,3.0459612,-1.8394859,3.4602612,4.5672975
-0.47678585,-0.28594661,1.378098,-6.4478182,2.3384232,-1.9808242,-3.2845178,4.1928159,1.9930315,1.4226118,-14.463955,-1.9439104,3.0958484,-12.066093,-19.023606,-7.4858321,-4.3892902,-4.0234047,2.0486535,-0.62631572,9.4893202,7.8434871,9.4765261,5.1890716,8.1934483,8.1737198,8.5329488,-7.493663,3.2315675,-0.59063126,3.0214458,4.9615863
-3.887552,-2.2306254,2.8138043,-4.2470741,1.3040283,-7.5350488,-4.9872656,-0.74457055,1.6166632,0.22621638,-12.882364,-1.2752959,5.0379582,-11.314745,-16.85192,-2.8217725,1.7464193,-0.94127609,3.854461,0.68991907,6.850267,8.8254841,9.7395406,2.3871927,6.429258,7.7366989,7.3407844,-4.1549235,0.97570712,-1.2221808,1.8708057,5.6514155
4.1114121,0.79374791,4.6161211,-4.5500793,0.010600632,-7.7993075,-5.8150616,-5.5258303,0.78059833,-3.8422406,-10.301267,-2.2033802,5.5245353,-10.01584,-13.736267,-0.49351395,3.8602322,-0.67123461,2.3840474,0.78362941,-1.96707,5.8021884,3.1701536,6.9969871,7.2037336,5.7600959,3.0085189,-0.99762358,0.99768326,4.370045,2.352379,5.392008
11.290882,1.6214866,1.6130304,-13.022664,-2.1021735,-6.2137522,-6.6600813,-4.938275,0.94698698,-1.3366665,-8.7478462,-1.5375288,5.9261937,-7.1627691,-10.407361,-0.22568503,2.2068607,-0.14790544,3.7867695,3.8946867,2.2483607,5.244892,1.5262474,7.0649219,4.2787602,3.740148,-1.4001033,-4.447281,1.452378,6.4378537,0.46275262,4.6068902
11.327722,1.9237513,0.3773205,-12.959452,-1.1119246,-4.4586425,-5.1806927,-1.7082274,0.60142231,3.2295012,-7.9485456,-0.34049941,4.1619081,-5.2540639,-10.652981,-2.0254097,-1.2985733,-1.75394,3.7889291,2.9896531,4.5093984,4.969937,0.66531514,11.257368,5.3318135,1.7285056,-2.7884107,-6.248565,0.94905261,4.9822161,-0.64965964,1.5857852
4.2178112,0.31376201,1.1004686,-7.7368763,-0.2690023,-2.0179331,-1.6027146,-2.2678054,0.34631246,3.2033344,-4.6876261,1.6159662,3.5956929,-2.8381656,-7.1773634,0.10766912,-1.0776092,-2.6271511,2.4489246,-5.7378215,-3.1822011,4.7076453,1.3676971,8.3345814,7.5676705,0.76396149,0.56760333,-1.1613966,0.33837154,3.4793156,-1.3598224,-0.33329746
4.8591981,0.84953351,1.0322988,-8.7503342,-0.68064677,1.2991975,0.61959212,-1.2638744,-0.58657334,4.1463489,-3.9713632,1.3682001,2.5713907,-3.7642084,-8.2557974,-2.6167894,-4.8746182,-4.2204504,2.0359735,-7.438112,-1.5379169,4.8263602,3.2459062,9.1625055,8.9529123,0.33088861,1.6723747,-0.86497531,1.5730488,3.9941883,-2.0438647,-1.6703924
6.4182359,1.8603349,-1.7132662,-9.9619521,0.29679608,3.6723753,1.1625413,2.2571208,-1.2643765,7.1805527,-5.0301151,1.4468221,1.2776445,-4.282448,-10.455709,-5.557818,-9.9866767,-5.8281011,2.9718126,-0.32437902,5.9572525,4.5846776,2.2363297,12.100021,8.1274372,-0.65103856,1.3248762,-7.4933626,2.4918042,2.1631382,-2.1152346,-2.8652855
2.0248883,-0.54306159,-0.75931995,-11.22927,-0.058245092,-5.629037,-2.8474157,-1.6926006,-0.71595024,4.9772732,-4.3911901,1.6498763,2.8398734,-2.3035939,-10.619636,-5.6839043,-10.769603,-5.5888082,5.1332266,1.9693441,9.6674579,6.8413231,7.5694431,24.076976,15.333762,1.6237118,4.0550062,-17.357559,-0.83361238,-2.1826377,-2.8891765,-1.6675412
3.9070045,-1.6838098,4.3834779,-13.955771,-0.61837961,-8.3659712,-3.7163131,-5.6721164,1.687029,3.4368437,-3.0089923,3.200883,4.5407647,0.15280395,-8.4528474,-4.7048718,-10.509208,-6.1362614,4.5805413,-7.7288697,6.9453626,7.3954834,9.0777011,13.535235,10.603413,2.9045703,2.937119,-4.7039804,-0.49481171,2.8820914,-3.6062536,1.1881373
7.6066365,0.25739613,7.3905249,-10.174802,-0.41913365,-1.3970425,-0.65904891,-6.2506905,2.6034558,3.240036,-3.6193615,4.5119584,4.4764412,1.9371557,-6.3283221,-3.9596886,-11.852432,-7.4604468,2.1226794,-7.7519585,1.5160749,4.5158266,3.2500315,-4.4896674,-0.55765898,0.16265614,-0.85507801,12.927158,2.1604006,9.0488538,-3.3155841,1.3636487
1.2161771,-0.88091399,4.8552681,-4.3438294,0.97857034,-0.56795134,-0.25917836,-3.2032323,4.0183001,3.6557808,-3.8598562,6.3470522,6.1648035,3.7433082,-5.1014995,-4.8454297,-13.715766,-7.6752015,2.3834846,-3.3438572,0.29472573,4.0349419,2.9765385,-7.0463938,-1.866182,0.3625149,0.19879469,10.291785,0.78130623,4.3083528,-2.1004126,2.1980158
