FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
0.55645463,0.42015768,-1.7824192,-0.44887996,-0.17742881,0.99912006,0.31778268,-0.036587986,-0.88007969,0.73505062,0.036882707,0.47308607,-0.8229592,0.83858889,1.1456213,1.1353554,0.6286554,-0.023246064,-0.26606222,2.4020288,-2.0971824,-2.9480172,-2.327779,0.74793409,-0.081606465,0.61309713,0.55335901,-0.19878931,1.1087093,0.5805269,0.3567811,-1.5581601
3.0752976,1.4681648,-1.0738082,0.79629545,1.4508577,2.978632,0.64534915,1.6973261,-0.94366441,0.66695919,-3.8554224,-1.0896499,-1.6809571,-2.7636208,-4.6486755,-3.3389461,-2.2126841,-1.0985417,0.26623211,4.5270684,-3.4337271,-2.4264329,-1.7342607,1.878226,1.1529001,1.398468,2.0946229,0.88101905,1.7242412,1.5803225,2.0828462,-0.064440686
8.3058396,2.3973291,-0.96235501,3.6388558,2.3680182,5.7068961,2.8358365,2.9511943,-1.1139759,1.3240356,-6.4202137,-1.3151614,-3.3293476,-5.8755835,-7.0820061,-7.1121445,-6.4498475,-4.683363,-0.97074554,0.14647263,-5.0634088,-3.1479108,-1.3896303,1.0597211,4.4110999,3.6412398,3.5080191,2.4262208,3.1479411,2.0913035,3.8371256,1.1185398
10.430468,2.4961404,-0.83456287,4.0842111,3.1262312,5.7275467,6.5647214,3.1852409,-1.5966907,1.5510622,-6.2637988,-1.2285715,-5.0822768,-6.3275727,-8.3016236,-10.171537,-9.1167234,-7.2889948,-1.0263557,3.3332084,-4.4402624,-4.7678842,-2.8260421,3.6171363,3.9870602,4.6937037,2.6711824,2.4409827,3.1385582,3.8526177,4.202976,0.16984327
8.5537929,1.5907138,-0.22434285,2.0928561,2.8175242,3.3364162,8.7227364,1.9767151,-2.550792,1.7526129,-3.2604042,-0.38283491,-5.5827068,-3.2794823,-5.8510975,-9.2723577,-8.4861175,-7.149134,0.16990377,10.099042,-3.550575,-6.3565648,-5.0348302,6.6801806,0.95528278,3.3816068,-0.011155291,1.0101161,1.8220061,4.9428379,2.8175268,-1.7294854
7.1450008,0.62147801,1.3173971,1.4540869,3.4232231,5.4355856,8.4505905,3.8265095,-1.9828486,4.3208493,0.61523281,2.5223553,-4.1176752,0.26548627,-2.4041963,-6.8219852,-6.9351378,-7.2678852,-1.036535,-3.5644578,-2.6970405,-7.0109571,-4.2683223,-0.11664164,1.3831511,3.3086704,-0.76078571,1.2456473,0.47019571,2.8439061,2.3247087,-1.9896113
5.5980005,-1.7434905,1.271547,-0.22252068,1.483442,7.2018471,8.3472596,4.2484376,-2.1851056,5.1330264,1.4485194,3.0726334,-4.3853747,0.73693412,-0.74867612,-4.9921392,-3.9763637,-4.2412078,-0.25534892,-0.76069884,1.4718983,-7.4562423,-3.5206395,2.2483162,-0.31188132,1.027288,-3.0389933,-0.31450277,-2.5489666,1.1974712,-0.31840642,-3.4660618
2.7071513,-3.5187045,1.8726055,-1.8333585,-1.8479405,4.6301336,8.7329473,2.5546386,-2.9111818,4.6600143,2.1824476,3.1144695,-4.492311,1.2705018,1.8168766,-2.4051743,0.44605159,0.95116785,0.86439862,2.3819464,3.1894793,-7.3939027,-3.3878882,3.4219537,-0.12663413,-0.38520975,-4.035798,-0.56679149,-4.3367167,0.70176377,-2.5794438,-5.6774931
1.1878971,-4.4529257,2.5337093,-2.6776641,-4.3027209,1.9108226,6.3836901,1.83718,-3.7936009,5.284404,4.0238685,4.2423778,-4.3107193,2.8356666,6.0346763,2.2019889,5.3429649,4.7858245,0.95302365,2.6857152,0.3873726,-7.4915601,-4.1720757,1.1575159,-0.15058635,-2.1797967,-4.1763284,-0.13425767,-5.4482323,0.053640543,-3.8551478,-6.6967255
2.4613961,-4.3099446,5.2948125,-2.3346981,-3.6990098,7.2591961,9.101943,4.0178341,-3.5862157,7.7258095,4.8460111,4.328389,-5.0041074,2.3374752,4.6617166,2.8054123,6.9306852,4.0888623,-0.63135356,2.8614529,-3.7206973,-8.1612221,-6.1084641,-0.95255819,-1.8789581,-4.5337865,-5.0486275,0.37548788,-6.2931243,-1.3640985,-4.5674037,-6.9022121
